iter	Logloss
0	0.5976709163
1	0.5302259123
2	0.4693775607
3	0.4160462394
4	0.3870844453
5	0.3562143659
6	0.3248653296
7	0.3044951084
8	0.2863743711
9	0.2768569151
10	0.2656637145
11	0.2534856611
12	0.2475090914
13	0.2396211703
14	0.2321617982
15	0.2265825817
16	0.2212807025
17	0.2171974388
18	0.2150855217
19	0.2114937751
20	0.2091571331
21	0.2059665294
22	0.2036882574
23	0.2014923247
24	0.199291731
25	0.1983476766
26	0.1967709684
27	0.1953805712
28	0.1940941746
29	0.1927766445
30	0.1914450564
31	0.1908379703
32	0.1900172661
33	0.1891415895
34	0.1881422019
35	0.1873570329
36	0.1867132757
37	0.1858009165
38	0.1854095997
39	0.1845714563
40	0.1838241015
41	0.1831970102
42	0.1828046845
43	0.1822690628
44	0.1818385806
45	0.1814583831
46	0.1809971019
47	0.1806158015
48	0.1802630758
49	0.1798287525
50	0.1796035326
51	0.1791471572
52	0.1786542324
53	0.1780621195
54	0.1774288667
55	0.177179197
56	0.1770047218
57	0.1764324051
58	0.1761352744
59	0.1758919381
60	0.1755716011
61	0.1752886263
62	0.1749196894
63	0.1746303461
64	0.1744131846
65	0.1738565799
66	0.1737329948
67	0.1734790677
68	0.1732420407
69	0.1729282912
70	0.1724650519
71	0.1722943828
72	0.1721525095
73	0.17202656
74	0.1719022088
75	0.1718093897
76	0.171384696
77	0.1711298763
78	0.1709875377
79	0.1708130022
80	0.1705839331
81	0.1704729244
82	0.1703317132
83	0.1702074082
84	0.1701165511
85	0.1699214885
86	0.1694963226
87	0.1693467681
88	0.1692063445
89	0.1689181025
90	0.1685442621
91	0.1684393858
92	0.1681456039
93	0.1680033762
94	0.1677996852
95	0.1675920196
96	0.1674321332
97	0.1672986257
98	0.1671292684
99	0.1670210694
100	0.1668871504
101	0.166500873
102	0.1662595896
103	0.16606178
104	0.1659412727
105	0.1655225286
106	0.1654361344
107	0.1652731818
108	0.1649206415
109	0.1648186275
110	0.1646909407
111	0.1645330928
112	0.1643738684
