iter	Passed	Remaining
0	97	97787
1	203	101496
2	299	99369
3	397	99025
4	497	99062
5	591	97986
6	690	97907
7	802	99475
8	918	101141
9	1014	100428
10	1117	100441
11	1210	99664
12	1308	99333
13	1405	98982
14	1507	98993
15	1601	98510
16	1701	98368
17	1797	98056
18	1898	98018
19	1994	97751
20	2090	97446
21	2184	97109
22	2284	97052
23	2382	96888
24	2476	96580
25	2571	96327
26	2672	96303
27	2780	96523
28	2873	96196
29	3002	97076
30	3116	97414
31	3208	97044
32	3303	96797
33	3394	96443
34	3504	96636
35	3597	96326
36	3696	96220
37	4042	102349
38	4149	102248
39	4251	102028
40	4350	101768
41	4450	101509
42	4579	101930
43	4720	102552
44	4826	102426
45	4925	102153
46	5041	102232
47	5140	101954
48	5241	101735
49	5338	101422
50	5437	101188
51	5543	101070
52	5642	100821
53	5738	100538
54	5844	100418
55	5947	100266
56	6042	99969
57	6145	99819
58	6239	99510
59	6347	99440
60	6447	99245
61	6554	99170
62	6668	99178
63	6781	99181
64	6884	99032
65	6995	98995
66	7110	99022
67	7216	98905
68	7326	98854
69	7434	98771
70	7541	98677
71	7650	98611
72	7762	98577
73	7875	98553
74	7979	98414
75	8085	98299
76	8184	98106
77	8286	97945
78	8382	97723
79	8481	97536
80	8588	97440
81	8735	97794
82	8853	97817
83	8954	97643
84	9093	97892
85	9203	97813
86	9305	97651
87	9399	97411
88	9509	97335
89	9602	97088
90	9699	96889
91	9795	96677
92	9892	96477
93	9992	96307
94	10086	96087
95	10193	95991
96	10293	95828
97	10386	95596
98	10481	95392
99	10573	95163
100	10676	95034
101	10775	94870
102	10879	94743
103	10975	94557
104	11077	94422
105	11173	94233
106	11266	94027
107	11360	93825
108	11472	93783
109	11571	93620
110	11669	93463
111	11762	93258
112	11864	93132
113	11959	92948
114	12051	92746
115	12152	92610
116	12254	92485
117	12351	92320
118	12449	92171
119	12544	91994
120	12649	91892
121	12743	91711
122	12845	91590
123	12939	91408
124	13043	91307
125	13182	91442
126	13278	91276
127	13380	91153
128	13482	91031
129	13576	90856
130	13675	90716
131	13779	90608
132	13879	90480
133	13978	90341
134	14070	90156
135	14172	90034
136	14266	89871
137	14361	89710
138	14461	89578
139	14558	89428
140	14653	89274
141	14749	89122
142	14849	88993
143	14943	88830
144	15040	88685
145	15131	88511
146	15230	88377
147	15326	88233
148	15428	88119
149	15520	87947
150	15620	87825
151	15711	87653
152	15807	87511
153	15904	87369
154	16006	87260
155	16104	87127
156	16204	87008
157	16297	86850
158	16391	86697
159	16497	86609
160	16599	86503
161	16698	86376
162	16797	86252
163	16899	86148
164	17005	86057
165	17102	85923
166	17196	85775
167	17295	85653
168	17395	85534
169	17494	85412
170	17592	85287
171	17685	85134
172	17783	85009
173	17881	84883
174	17982	84773
175	18073	84618
176	18174	84507
177	18271	84375
178	18361	84218
179	18478	84180
180	18580	84073
181	18679	83956
182	18774	83817
183	18880	83731
184	18985	83639
185	19078	83494
186	19171	83350
187	19268	83225
188	19370	83119
189	19480	83049
190	19584	82954
191	19679	82816
192	19779	82704
193	19876	82581
194	19967	82431
195	20065	82307
196	20178	82250
197	20275	82125
198	20374	82011
199	20485	81941
200	20581	81814
201	20675	81677
202	20771	81550
203	20874	81452
204	20971	81330
205	21067	81201
206	21162	81072
207	21259	80950
208	21361	80845
209	21466	80753
210	21563	80634
211	21661	80516
212	21753	80375
213	21846	80239
214	21948	80136
215	22051	80039
216	22142	79895
217	22241	79784
218	22338	79663
219	22441	79565
220	22539	79448
221	22640	79343
222	22738	79227
223	22834	79105
224	22939	79013
225	23032	78880
226	23133	78775
227	23290	78861
228	23397	78775
229	23505	78691
230	23616	78617
231	23725	78540
232	23837	78470
233	23941	78371
234	24054	78303
235	24170	78247
236	24270	78135
237	24366	78013
238	24474	77930
239	24576	77824
240	24668	77688
241	24758	77550
242	24859	77444
243	24965	77351
244	25062	77234
245	25166	77136
246	25280	77068
247	25391	76992
248	25499	76907
249	25613	76840
250	25721	76755
251	25827	76661
252	25944	76601
253	26061	76541
254	26166	76447
255	26263	76327
256	26356	76197
257	26463	76108
258	26559	75987
259	26655	75864
260	26751	75744
261	26852	75638
262	26959	75547
263	27052	75418
264	27151	75305
265	27263	75231
266	27369	75137
267	27484	75069
268	27598	74999
269	27708	74914
270	27817	74830
271	27932	74759
272	28048	74693
273	28156	74605
274	28255	74492
275	28347	74361
276	28451	74261
277	28554	74158
278	28648	74034
279	28748	73924
280	28846	73810
281	28949	73709
282	29046	73591
283	29149	73489
284	29259	73406
285	29366	73313
286	29481	73242
287	29595	73167
288	29722	73123
289	29827	73026
290	29932	72927
291	30044	72846
292	30155	72763
293	30256	72656
294	30345	72521
295	30452	72426
296	30551	72314
297	30647	72197
298	30751	72095
299	30848	71978
300	30948	71869
301	31043	71750
302	31144	71641
303	31251	71549
304	31361	71464
305	31482	71400
306	31607	71347
307	31722	71272
308	31832	71185
309	31945	71103
310	32049	71002
311	32168	70935
312	32261	70810
313	32358	70693
314	32459	70587
315	32556	70469
316	32651	70349
317	32755	70250
318	32849	70126
319	32956	70032
320	33049	69907
321	33147	69795
322	33253	69698
323	33425	69739
324	33541	69664
325	33647	69564
326	33756	69473
327	33865	69383
328	33977	69296
329	34077	69187
330	34180	69083
331	34276	68966
332	34379	68861
333	34476	68746
334	34572	68628
335	34665	68506
336	34771	68407
337	34865	68287
338	34967	68181
339	35062	68062
340	35168	67964
341	35273	67865
342	35381	67771
343	35487	67673
344	35597	67583
345	35705	67489
346	35811	67391
347	35927	67311
348	36038	67223
349	36142	67122
350	36257	67039
351	36372	66957
352	36467	66840
353	36564	66725
354	36671	66629
355	36768	66513
356	36861	66391
357	36953	66268
358	37061	66173
359	37156	66056
360	37261	65955
361	37377	65874
362	37489	65788
363	37604	65704
364	37709	65604
365	37817	65509
366	37928	65419
367	38034	65320
368	38145	65229
369	38255	65138
370	38347	65015
371	38449	64910
372	38545	64794
373	38648	64690
374	38746	64577
375	38843	64463
